,Unnamed: 0,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
650,Neural Stem Cells,0.016077204,0.021146381,0.765,0.235,0.235,0.1886666666666666,False,Clic4
300,Oligodendrocyte Precursor Cells,0.016062276,0.011756146,0.911,0.089,0.089,0.089,False,Arhgap31
2,Oligodendrocyte Precursor Cells,0.016054006,0.011367052,0.921,0.079,0.079,0.041,True,Atf5
1,Oligodendrocyte Precursor Cells,0.016034154,0.011478195,0.921,0.079,0.079,0.056,False,Serpini1
3303,Medium Spiny Neurons,0.016024577,0.009508443,0.946,0.054,0.054,0.0235,True,Selenop
3267,Endocrine Cells,0.016001953,0.027928416,0.727,0.273,0.273,0.187,False,Sall1
3972,Oligodendrocyte Precursor Cells,0.015995052,0.011399398,0.921,0.079,0.079,0.079,False,Vcl
2,Oligodendrocyte Precursor Cells,0.015977519,0.011615295,0.915,0.085,0.085,0.0536666666666666,False,Hexb
3651,Endocrine Cells,0.015976727,0.027843023,0.727,0.273,0.273,0.14725,False,Spon1
2546,Neurons,0.015967669,0.0131792445,0.888,0.112,0.112,0.065,False,Ntsr2
1,Neurons,0.015953688,0.013440211,0.884,0.116,0.116,0.0705,False,Gpr37l1
1320,Oligodendrocyte Precursor Cells,0.01594299,0.011654898,0.912,0.088,0.088,0.088,False,Gfra1
1,Oligodendrocyte Precursor Cells,0.015875103,0.011695113,0.909,0.091,0.091,0.0465,True,Adcy1
1349,Oligodendrocyte Precursor Cells,0.015867893,0.011768825,0.908,0.092,0.092,0.0584999999999999,False,Gja1
457,Oligodendrocyte Precursor Cells,0.015804652,0.011684094,0.909,0.091,0.091,0.048,True,Capn2
4,Endocrine Cells,0.015793838,0.027743792,0.724,0.276,0.276,0.1322,False,Scn4b
424,Endocrine Cells,0.015690355,0.027920267,0.723,0.277,0.277,0.1716,False,Cabp1
3684,Oligodendrocyte Precursor Cells,0.015687503,0.0118347695,0.907,0.093,0.093,0.093,False,Sulf2
2,Medium Spiny Neurons,0.015673887,0.009503302,0.945,0.055,0.055,0.0279999999999999,True,Gja1
265,Oligodendrocyte Precursor Cells,0.015668875,0.011612588,0.909,0.091,0.091,0.0504999999999999,False,Appl2
0,Oligodendrocyte Precursor Cells,0.015667649,0.01129961,0.918,0.082,0.082,0.082,False,Mtus1
1264,Neural Stem Cells,0.015651494,0.021158647,0.762,0.238,0.238,0.1474,False,Fstl1
421,Oligodendrocyte Precursor Cells,0.015647186,0.011739641,0.907,0.093,0.093,0.0535,False,Cabp1
1934,Endocrine Cells,0.015600011,0.028315146,0.723,0.277,0.277,0.1906666666666666,False,Lamc1
2,Endocrine Cells,0.015592161,0.028179508,0.723,0.277,0.277,0.2106666666666666,False,Iqgap1
3505,Oligodendrocyte Precursor Cells,0.015591494,0.011363428,0.915,0.085,0.085,0.044,True,Slc2a1
3304,Oligodendrocyte Precursor Cells,0.015582827,0.01185952,0.906,0.094,0.094,0.0376,True,Selenop
3108,Oligodendrocyte Precursor Cells,0.01558139,0.011430021,0.911,0.089,0.089,0.089,False,Rapgef3
3206,Oligodendrocyte Precursor Cells,0.0155741805,0.0116258925,0.907,0.093,0.093,0.0456666666666666,True,Rnaset2a
1189,Oligodendrocyte Precursor Cells,0.015541074,0.0113843335,0.911,0.089,0.089,0.0615,False,Flna
2,Endocrine Cells,0.015531336,0.02796251,0.723,0.277,0.277,0.1966666666666666,False,Slc12a2
3,Medium Spiny Neurons,0.015507749,0.009541543,0.945,0.055,0.055,0.0145,True,Hspa5
721,Oligodendrocyte Precursor Cells,0.015499289,0.011445761,0.909,0.091,0.091,0.0535,False,Cpox
2802,Neurons,0.015497746,0.013449072,0.875,0.125,0.125,0.0637142857142857,False,Plpp3
4226,Oligodendrocyte Precursor Cells,0.015484565,0.011760239,0.907,0.093,0.093,0.0433333333333333,True,Ldha
1,Oligodendrocyte Precursor Cells,0.0154620055,0.011550119,0.907,0.093,0.093,0.0525,False,Mmd2
1,Oligodendrocyte Precursor Cells,0.0154442955,0.011467946,0.907,0.093,0.093,0.0465,True,Pde10a
3988,Neural Stem Cells,0.0153969275,0.021234913,0.76,0.24,0.24,0.1679999999999999,False,Vegfa
4,Endocrine Cells,0.015389234,0.028156867,0.72,0.28,0.28,0.1702,False,Map7
