,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
191,Microglia,Neurod2,sex_interaction(sex2-sex1) within age,60,male-female,-0.201222050470069,-1.3130410453017787,0.925982743332602,,0.9653092412710078,sex_interaction(male-female) (within age=60)
192,Microglia,Cemip2,mtDSB_at_age×sex,21,female,0.054670069441964085,-0.7532341379904048,0.8355599639278981,1.1468143630705292,,"beta[21] (mtDSB effect @ age, sex=female)"
193,Microglia,Cemip2,mtDSB_at_age×sex,21,male,0.24428050377829102,-0.7282934400711442,1.1805186806086856,1.4324188407091183,,"beta[21] (mtDSB effect @ age, sex=male)"
194,Microglia,Cemip2,mtDSB_at_age×sex,60,female,-0.3852313171348032,-1.4101934214104983,0.6725931725935346,0.7778154518421788,,"beta[60] (mtDSB effect @ age, sex=female)"
195,Microglia,Cemip2,mtDSB_at_age×sex,60,male,-0.331279088304097,-1.5203720800114224,0.951338372610613,0.883939964028235,,"beta[60] (mtDSB effect @ age, sex=male)"
196,Microglia,Cemip2,age_interaction(old-young) within sex,60-21,female,-0.4399013865767673,-1.2933555159356793,0.480317850531057,,0.7158543290313625,age_interaction(60-21) (within sex=female)
197,Microglia,Cemip2,age_interaction(old-young) within sex,60-21,male,-0.575559592082388,-1.7586565234036757,0.6161152758545522,,0.6808567199603944,age_interaction(60-21) (within sex=male)
198,Microglia,Cemip2,sex_interaction(sex2-sex1) within age,21,male-female,0.18961043433632693,-0.5716513021616211,1.0075700408334678,,1.3210614275074284,sex_interaction(male-female) (within age=21)
199,Microglia,Cemip2,sex_interaction(sex2-sex1) within age,60,male-female,0.05395222883070622,-1.1131714758037672,1.186794434446018,,1.2553239089260653,sex_interaction(male-female) (within age=60)
200,Microglia,Irs1,mtDSB_at_age×sex,21,female,0.05348234865096835,-0.589223573825266,0.8811599234119378,1.1447558936548767,,"beta[21] (mtDSB effect @ age, sex=female)"
201,Microglia,Irs1,mtDSB_at_age×sex,21,male,0.07521970676860892,-0.8778947633555749,0.9185413821306252,1.1849775616492406,,"beta[21] (mtDSB effect @ age, sex=male)"
202,Microglia,Irs1,mtDSB_at_age×sex,60,female,-0.06747095851875778,-1.1120517507017402,0.8211705643815129,1.0408523272449428,,"beta[60] (mtDSB effect @ age, sex=female)"
203,Microglia,Irs1,mtDSB_at_age×sex,60,male,-0.3092850318454156,-1.6597141532367643,0.7565169628173946,0.8982139643284328,,"beta[60] (mtDSB effect @ age, sex=male)"
204,Microglia,Irs1,age_interaction(old-young) within sex,60-21,female,-0.12095330716972613,-1.1050994416126918,0.5238573641936441,,0.9845894836506555,age_interaction(60-21) (within sex=female)
205,Microglia,Irs1,age_interaction(old-young) within sex,60-21,male,-0.38450473861402457,-1.5793665771256857,0.533655827293799,,0.7934374092029102,age_interaction(60-21) (within sex=male)
206,Microglia,Irs1,sex_interaction(sex2-sex1) within age,21,male-female,0.021737358117640517,-0.8704158948413677,0.6680016867444845,,1.1150280148972627,sex_interaction(male-female) (within age=21)
207,Microglia,Irs1,sex_interaction(sex2-sex1) within age,60,male-female,-0.24181407332665789,-1.4388905680059831,0.7206497638500179,,0.9103793131121769,sex_interaction(male-female) (within age=60)
208,Microglia,Inpp4b,mtDSB_at_age×sex,21,female,-0.1687544910590341,-0.8765231984308587,0.5377092549705774,0.901553740864407,,"beta[21] (mtDSB effect @ age, sex=female)"
209,Microglia,Inpp4b,mtDSB_at_age×sex,21,male,-0.09526904755727614,-0.9399465312489932,0.7436435400884674,0.99942708488067,,"beta[21] (mtDSB effect @ age, sex=male)"
210,Microglia,Inpp4b,mtDSB_at_age×sex,60,female,-0.8717183373178597,-1.845461986425163,0.1672925631965483,0.4781510132042372,,"beta[60] (mtDSB effect @ age, sex=female)"
211,Microglia,Inpp4b,mtDSB_at_age×sex,60,male,-1.3299049743775249,-2.3705708968250354,-0.0913070526058084,0.3167278900367784,,"beta[60] (mtDSB effect @ age, sex=male)"
212,Microglia,Inpp4b,age_interaction(old-young) within sex,60-21,female,-0.7029638462588257,-1.5181271268568621,0.20314339140409157,,0.5482427918646327,age_interaction(60-21) (within sex=female)
213,Microglia,Inpp4b,age_interaction(old-young) within sex,60-21,male,-1.2346359268202487,-2.3335745166235484,-0.005595620033904597,,0.3486064392239202,age_interaction(60-21) (within sex=male)
214,Microglia,Inpp4b,sex_interaction(sex2-sex1) within age,21,male-female,0.07348544350175797,-0.7058000977940443,0.8361577189557245,,1.162580053480558,sex_interaction(male-female) (within age=21)
215,Microglia,Inpp4b,sex_interaction(sex2-sex1) within age,60,male-female,-0.4581866370596649,-1.4475874239088915,0.5878414125760905,,0.7243059388585301,sex_interaction(male-female) (within age=60)
216,Microglia,Acvr1b,mtDSB_at_age×sex,21,female,-0.18085491497057704,-0.8952659854057226,0.5430550108136152,0.891350678308578,,"beta[21] (mtDSB effect @ age, sex=female)"
217,Microglia,Acvr1b,mtDSB_at_age×sex,21,male,-0.2887614728704499,-1.1624497874629787,0.617977917422092,0.8303679817618109,,"beta[21] (mtDSB effect @ age, sex=male)"
218,Microglia,Acvr1b,mtDSB_at_age×sex,60,female,-0.9124574868768638,-1.8885643226333,0.17898827985619542,0.46174236288139275,,"beta[60] (mtDSB effect @ age, sex=female)"
219,Microglia,Acvr1b,mtDSB_at_age×sex,60,male,-1.2019574115635818,-2.309125692678719,0.09031188547246233,0.3629993680147918,,"beta[60] (mtDSB effect @ age, sex=male)"
220,Microglia,Acvr1b,age_interaction(old-young) within sex,60-21,female,-0.7316025719062869,-1.6062506599990272,0.16587676954419975,,0.5326626298249548,age_interaction(60-21) (within sex=female)
221,Microglia,Acvr1b,age_interaction(old-young) within sex,60-21,male,-0.9131959386931321,-1.968735184206301,0.1632158055235536,,0.465857205359846,age_interaction(60-21) (within sex=male)
222,Microglia,Acvr1b,sex_interaction(sex2-sex1) within age,21,male-female,-0.10790655789987291,-0.845816097077694,0.6665376308600119,,0.9701170043550837,sex_interaction(male-female) (within age=21)
223,Microglia,Acvr1b,sex_interaction(sex2-sex1) within age,60,male-female,-0.2894999246867182,-1.3298885042985988,0.7315940183112681,,0.8600850643741504,sex_interaction(male-female) (within age=60)
224,Microglia,Prom1,mtDSB_at_age×sex,21,female,-0.04960675383084094,-0.8300202393649636,0.684812876363386,1.0257506110071144,,"beta[21] (mtDSB effect @ age, sex=female)"
225,Microglia,Prom1,mtDSB_at_age×sex,21,male,-0.05035053892759552,-1.0014110567726675,0.8795120833893635,1.064641533703888,,"beta[21] (mtDSB effect @ age, sex=male)"
226,Microglia,Prom1,mtDSB_at_age×sex,60,female,-0.5280910572386922,-1.551240938994189,0.5381208454413551,0.6825534632644722,,"beta[60] (mtDSB effect @ age, sex=female)"
227,Microglia,Prom1,mtDSB_at_age×sex,60,male,-0.9088407754380134,-2.0826887742779276,0.3940798826477314,0.49447063868037366,,"beta[60] (mtDSB effect @ age, sex=male)"
228,Microglia,Prom1,age_interaction(old-young) within sex,60-21,female,-0.47848430340785114,-1.327919996862136,0.42124470793494856,,0.6863653137865157,age_interaction(60-21) (within sex=female)
229,Microglia,Prom1,age_interaction(old-young) within sex,60-21,male,-0.8584902365104181,-1.9584003740052216,0.3643097275441148,,0.5084557372447428,age_interaction(60-21) (within sex=male)
230,Microglia,Prom1,sex_interaction(sex2-sex1) within age,21,male-female,-0.0007437850967545838,-0.7956806156636671,0.7816662330723562,,1.0871392666293667,sex_interaction(male-female) (within age=21)
231,Microglia,Prom1,sex_interaction(sex2-sex1) within age,60,male-female,-0.38074971819932135,-1.458103402565994,0.7348510439629278,,0.8003994859342627,sex_interaction(male-female) (within age=60)
