,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta
Idua,-0.04334806412006921,0.22442055649408296,0.0,0.3173785946692495,0.0,1.0,1.0
Ifi204,1.3104562855101516,1.909869353104307,0.0,2.7009631415208406,0.0,1.0,1.0
Ifi208,-0.57691276426216,2.174999900229523,0.0,3.07591435706472,0.0,1.0,1.0
Ifi209,0.24806885197884404,2.6268406836911913,0.0,3.7149137210694962,0.0,1.0,1.0
Ifi27,0.3379639722225775,0.1771193312092052,0.0,0.25048456035451017,0.0,1.0,1.0
Ifi44,0.16178842039992253,0.9402112957621208,0.0,1.3296595659631725,0.0,1.0,1.0
Ifih1,-0.2985210368462999,0.41736303258154994,0.0,0.5902404611099918,0.0,1.0,1.0
Ifit1,0.1271673713072786,0.5013591056718072,0.0,0.7090288468603154,0.0,1.0,1.0
Ifit3,0.38125133532075606,0.32188485812253664,0.0,0.4552139318794308,0.0,1.0,1.0
Ifnar1,-0.07507383793639041,0.12838188825448346,0.0,0.18155940753255767,0.0,1.0,1.0
Ifnar2,0.09506381467397125,0.23335661561177398,0.0,0.33001609066765586,0.0,1.0,1.0
Ifng,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Ifngr1,-0.027467898058013886,0.12371535289813605,0.0,0.1749599299423176,0.0,1.0,1.0
Ifngr2,0.04304254316335336,0.2359026487473085,0.0,0.33361672525818015,0.0,1.0,1.0
Ifnlr1,0.018385894722255117,2.369488963594372,0.0,3.3509634282085297,0.0,1.0,1.0
Ift122,-0.0782180701592093,0.15627497117819272,0.0,0.22100618369966468,0.0,1.0,1.0
Ift27,0.03484198175508476,0.1300173812107191,0.0,0.18387234385243176,0.0,1.0,1.0
Ift88,-0.011899532990006484,0.18184478066158058,0.0,0.25716735505836796,0.0,1.0,1.0
Igdcc4,-0.055617944364575574,0.13646307536539687,0.0,0.19298793194488606,0.0,1.0,1.0
Igf1,0.4547854772943262,0.631448195661119,0.0,0.8930026022399742,0.0,1.0,1.0
Igf1r,-0.0003424652913779296,0.14024555723590348,0.0,0.19833716910558688,0.0,1.0,1.0
Igf2,-0.4480353377185623,0.286572404168518,0.0,0.40527458057698224,0.0,1.0,1.0
Igf2bp1,-0.00972227179681739,2.3497051495994485,0.0,3.3229848901414423,0.0,1.0,1.0
Igf2r,0.09400471750023828,0.21236051671447037,0.0,0.3003231228501623,0.0,1.0,1.0
Igfbp1,-1.6683869064828254,4.095825042424643,0.0,5.792371324104288,0.0,1.0,1.0
Igfbp2,0.06934959184899274,0.3825073231853586,0.0,0.5409470441557628,0.0,1.0,1.0
Igfbp3,-0.02353521986305985,0.12667681405304232,0.0,0.17914806847202713,0.0,1.0,1.0
Igfn1,-0.06948655548339659,0.3816277939090836,0.0,0.5397032019247504,0.0,1.0,1.0
Igha,0.007873048913836587,3.3948051086344777,0.0,4.800979426244346,0.0,1.0,1.0
Ighd,0.7290877544612953,1.7181913907174529,0.0,2.4298895675053114,0.0,1.0,1.0
Ighm,-0.2727116110569393,0.2811424281536658,0.0,0.39759543485341764,0.0,1.0,1.0
Igkc,-0.34396643486190637,1.6605783201379614,0.0,2.348412381721836,0.0,1.0,1.0
Igll1,0.020981662147187854,2.362969612489484,0.0,3.3417436734581254,0.0,1.0,1.0
Igsf11,0.18333695478320414,0.12052089579917075,0.0,0.17044228538854184,0.0,1.0,1.0
Igsf21,-0.016921780652496887,0.0968796162739629,0.0,0.13700846725213953,0.0,1.0,1.0
Igsf5,-0.07776908710810486,1.0303301124784476,0.0,1.457106818788417,0.0,1.0,1.0
Igsf8,0.16429113040150306,0.18279202078732468,0.0,0.25850695489101927,0.0,1.0,1.0
Igsf9b,0.035355675490500615,0.10809029238003867,0.0,0.15286275744472388,0.0,1.0,1.0
Igtp,0.33279183911074617,0.6175922220187858,0.0,0.8734072963951025,0.0,1.0,1.0
Ihh,1.3104562855101516,1.909869353104307,0.0,2.7009631415208406,0.0,1.0,1.0
Ikbkb,0.11249548861858953,0.1381181169563786,0.0,0.19532851420914396,0.0,1.0,1.0
Ikbkg,0.014866922785371876,0.14217943980376357,0.0,0.2010720920610915,0.0,1.0,1.0
Ikzf1,0.9830116880880306,0.6305316284415314,0.0,0.891706380447207,0.0,1.0,1.0
Ikzf2,-0.11415682982869924,0.15532319796991492,0.0,0.21966017312021488,0.0,1.0,1.0
Il10,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Il10ra,0.1503942667053445,0.48627446013289843,0.0,0.6876959365555999,0.0,1.0,1.0
Il11,-0.4176153880489889,0.9498867843903107,0.0,1.3433427732037453,0.0,1.0,1.0
Il11ra1,0.10534487997119828,0.18746603602396403,0.0,0.2651170106294131,0.0,1.0,1.0
Il12a,0.5576976776931452,1.8089536272637958,0.0,2.5582467533804647,0.0,1.0,1.0
Il12b,0.007872714687639584,3.5286305493179864,0.0,4.990237179449521,0.0,1.0,1.0
Il12rb1,1.1958426965700866,1.5747251355828402,0.0,2.2269976437510635,0.0,1.0,1.0
Il12rb2,2.6002379616868643,3.1056968815945063,0.0,4.3921186505707785,0.0,1.0,1.0
Il13,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Il13ra1,-0.17861868122725022,0.33203850019676434,0.0,0.4695733502082857,0.0,1.0,1.0
Il13ra2,2.042356766907153,3.7105540921492786,0.0,5.247515921036497,0.0,1.0,1.0
Il15,0.0896576146776434,0.4043607740996747,0.0,0.5718524908234432,0.0,1.0,1.0
Il15ra,-0.05105833243182594,0.3414032637494805,0.0,0.48281712583295416,0.0,1.0,1.0
Il17a,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Il17f,0.5190610849828933,2.1919681749731166,0.0,3.099911121337183,0.0,1.0,1.0
Il17ra,-0.0526369112408313,0.23406398983957014,0.0,0.3310164688942784,0.0,1.0,1.0
Il17rb,-1.899997690092937,0.8429490172460546,0.0,1.1921099325784426,0.0,1.0,1.0
Il17rc,-0.3682504264162709,0.4890691667241379,0.0,0.6916482485197842,0.0,1.0,1.0
Il18,0.03781276694249153,0.11324637046933671,0.0,0.16015455300726394,0.0,1.0,1.0
Il18r1,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Il18rap,-1.002429141814173,2.8738013032387784,0.0,4.064168778605755,0.0,1.0,1.0
Il1a,-0.8203997824279747,1.392515436593491,0.0,1.9693142162444068,0.0,1.0,1.0
Il1f10,0.16453953599274126,2.4026541829367676,0.0,3.397866131201624,0.0,1.0,1.0
Il1r1,0.3344188871564779,0.5594309231991414,0.0,0.7911547987991271,0.0,1.0,1.0
Il1rap,-0.02190563286357032,0.09354175612242763,0.0,0.13228802015653365,0.0,1.0,1.0
Il1rapl2,0.6904842835457367,0.42090747459344213,0.0,0.5952530590742547,0.0,1.0,1.0
Il1rl1,1.791840640063109,3.7011697679810576,0.0,5.234244482524093,0.0,1.0,1.0
Il1rn,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Il21,0.007872184734328982,3.730928211743855,0.0,5.276329277288558,0.0,1.0,1.0
Il21r,-0.3951876674011382,1.6938181415373177,0.0,2.3954205879556656,0.0,1.0,1.0
Il22,2.2706330210246026,2.1504804092502003,0.0,3.041238560379277,0.0,1.0,1.0
Il22ra1,0.007873042616333278,3.39737580509732,0.0,4.804614940046843,0.0,1.0,1.0
Il22ra2,-1.5662779451582678,2.541754074323284,0.0,3.5945830841250603,0.0,1.0,1.0
Il23a,0.007873048913836587,3.3948051086344777,0.0,4.800979426244346,0.0,1.0,1.0
Il23r,1.120679586786601,2.105998656887277,0.0,2.9783318629095095,0.0,1.0,1.0
Il25,-0.046162116224906624,1.0303538869171796,0.0,1.4571404409221096,0.0,1.0,1.0
Il27,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Il27ra,-0.18318524614822615,0.8914302234918806,0.0,1.2606727119714967,0.0,1.0,1.0
Il2ra,-2.0603461733241755,1.6207215927190102,0.0,2.292046457254148,0.0,1.0,1.0
Il2rb,-0.6284670468623249,1.0598913594745742,0.0,1.4989127352110003,0.0,1.0,1.0
Il2rg,-0.5256049130950421,1.361920242852817,0.0,1.926046078312913,0.0,1.0,1.0
Il3,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Il31,-0.8365688386867549,2.7983114213528526,0.0,3.9574099638207367,0.0,1.0,1.0
Il33,-0.39656848846741133,0.4890609012670917,0.0,0.6916365593983302,0.0,1.0,1.0
Il34,0.1910331390361124,0.1632052486703826,0.0,0.23080707612012863,0.0,1.0,1.0
Il3ra,1.6063545730125441,2.517314390737269,0.0,3.5600201521376107,0.0,1.0,1.0
Il4ra,-0.018116559313018223,0.25570775205340673,0.0,0.36162537095786446,0.0,1.0,1.0
Il5,0.8691271532071404,2.815786722347506,0.0,3.9821237714939275,0.0,1.0,1.0
Il5ra,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Il6ra,-0.5618558065731228,0.6006037632631629,0.0,0.8493819876190847,0.0,1.0,1.0
Il6st,0.060646015303612244,0.10148964643358935,0.0,0.14352803442683226,0.0,1.0,1.0
Il7,-0.9642603638013744,2.7492550624910335,0.0,3.8880337957977105,0.0,1.0,1.0
Il7r,0.9051864424461065,1.0587371056899029,0.0,1.4972803738542977,0.0,1.0,1.0
Il9,0.007872521202022743,3.6038149263770376,0.0,5.096563945165004,0.0,1.0,1.0
Ilf2,0.08099778281553441,0.11654426673967676,0.0,0.16481848264007848,0.0,1.0,1.0
Ilk,-0.08881614727490691,0.19025576599702992,0.0,0.26906228459268167,0.0,1.0,1.0
Ilkap,-0.10607459734834367,0.13076292588624247,0.0,0.18492670324391197,0.0,1.0,1.0
Immt,-0.018382130680327548,0.10176975398218517,0.0,0.14392416632097957,0.0,1.0,1.0
Impact,0.08617283192001832,0.09164051246177672,0.0,0.12959925558626526,0.0,1.0,1.0
Impad1,0.022885900209447738,0.10515093125330698,0.0,0.14870587307458769,0.0,1.0,1.0
Ina,0.04851689083189334,0.09473375829134772,0.0,0.1339737657901986,0.0,1.0,1.0
Ing3,-0.03245520358401359,0.1315006952046281,0.0,0.18597006661987567,0.0,1.0,1.0
Inha,-0.017301159454597884,0.24733292648742675,0.0,0.3497815790599466,0.0,1.0,1.0
Inhba,-0.3385567295630985,0.38576451114979227,0.0,0.5455534035502633,0.0,1.0,1.0
Inhbb,-0.020233598498547015,0.4135807834659074,0.0,0.5848915531143766,0.0,1.0,1.0
Inka2,0.16942185967699266,0.15136821084554505,0.0,0.21406697668992003,0.0,1.0,1.0
Ino80d,0.12429913034083864,0.11137631425979927,0.0,0.15750989415333608,0.0,1.0,1.0
Inpp1,-0.13162598702015565,0.17449238865305164,0.0,0.2467695025640228,0.0,1.0,1.0
Inpp4b,0.03972453909139069,0.17442741113251026,0.0,0.24667761047322379,0.0,1.0,1.0
Inpp5b,0.09086698347232433,0.13687307196204884,0.0,0.1935677546923981,0.0,1.0,1.0
Inpp5d,-0.03127764225749154,0.4084355003084476,0.0,0.5776150238908471,0.0,1.0,1.0
Inpp5e,-0.13027219323414196,0.2488630253401161,0.0,0.35194546560919143,0.0,1.0,1.0
Ins1,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Insm1,-0.18300669234241013,1.2604974527736943,0.0,1.7826125930492984,0.0,1.0,1.0
Insr,-0.10027959308754714,0.12568408881309243,0.0,0.17774414297397992,0.0,1.0,1.0
Insrr,-2.5583111427170175,2.146832238052933,0.0,3.036079267194243,0.0,1.0,1.0
Ints11,0.11096514800857289,0.2166890224321512,0.0,0.30644455434091605,0.0,1.0,1.0
Ints4,0.10344494704872975,0.11525365165568928,0.0,0.1629932772845001,0.0,1.0,1.0
Invs,-0.0006525666307571379,0.18851970112853664,0.0,0.266607118110499,0.0,1.0,1.0
Ipmk,0.141445274736802,0.16994901856387534,0.0,0.24034420696502942,0.0,1.0,1.0
Ipo9,0.12812986829954343,0.13472858571683627,0.0,0.1905349931600959,0.0,1.0,1.0
Iqgap1,0.01588976144652579,0.17992456765690168,0.0,0.2544517637845059,0.0,1.0,1.0
Iqgap2,-0.14526694442894805,0.2633109507238799,0.0,0.37237791763506467,0.0,1.0,1.0
Iqgap3,0.5607802620094432,0.7222541228357485,0.0,1.021421575994199,0.0,1.0,1.0
Irak1,-0.03509364026298328,0.18691390671637506,0.0,0.26433618187443714,0.0,1.0,1.0
Irak2,0.07050697712836951,0.24979562407095507,0.0,0.3532643593825958,0.0,1.0,1.0
Irak3,1.3538357370155156,1.316316365850828,0.0,1.8615524569599056,0.0,1.0,1.0
Ireb2,0.09344842049542389,0.11360574028839515,0.0,0.16066277867928397,0.0,1.0,1.0
Irf1,-0.15437121418862726,0.19020813177199103,0.0,0.2689949196255985,0.0,1.0,1.0
Irf3,0.07437182665452667,0.1273440709778367,0.0,0.18009171226465873,0.0,1.0,1.0
Irf4,0.08089702420385744,2.3939930174431927,0.0,3.3856173934946527,0.0,1.0,1.0
Irf5,-0.19348796983208513,0.6834780031588102,0.0,0.9665838616508705,0.0,1.0,1.0
Irf7,-0.3473945871653183,1.5874097273237693,0.0,2.2449363654242513,0.0,1.0,1.0
Irf8,-0.9714963572591248,0.6982413125671352,0.0,0.987462334041634,0.0,1.0,1.0
Irf9,0.247746004732568,0.19402664064594027,0.0,0.27439510666317957,0.0,1.0,1.0
Irgm1,0.11211865176479102,0.16125262463272322,0.0,0.228045648723855,0.0,1.0,1.0
Irgm2,-0.3004142857536533,0.27565737918367017,0.0,0.3898384042097693,0.0,1.0,1.0
Irs1,-0.08468209174470137,0.1735758895350993,0.0,0.24547337708151162,0.0,1.0,1.0
Irs2,-0.14037132042520434,0.09752145652251366,0.0,0.13791616643651694,0.0,1.0,1.0
Irx2,-0.009134690784426107,0.17962244819339315,0.0,0.2540245023417553,0.0,1.0,1.0
Irx3,-0.21733941656376873,0.24721332372929952,0.0,0.34961243521730584,0.0,1.0,1.0
Irx4,-1.7912034581760776,3.694329641231315,0.0,5.224571082506256,0.0,1.0,1.0
Irx5,-0.4497821587727054,0.387743374924016,0.0,0.5483519395378593,0.0,1.0,1.0
Irx6,-0.9356041872207942,0.5692480553174534,0.0,0.8050383201844524,0.0,1.0,1.0
Isca1,0.09072934614673113,0.13970950028188944,0.0,0.1975790700910158,0.0,1.0,1.0
Isg15,0.5057260260300074,0.4688860539513364,0.0,0.6631050167055828,0.0,1.0,1.0
Isg20,0.40876962845406895,0.6726440996671873,0.0,0.9512624083995761,0.0,1.0,1.0
Isl1,0.8663363884497604,0.5816384879806391,0.0,0.8225610381004003,0.0,1.0,1.0
Isl2,-1.501826364950596,2.572137552156693,0.0,3.6375518105491293,0.0,1.0,1.0
Itch,-0.011855923209374241,0.10216456605430871,0.0,0.1444825149079653,0.0,1.0,1.0
Itga1,-0.12403937888023035,0.33364796704719973,0.0,0.4718494800563614,0.0,1.0,1.0
Itga11,-0.447294202046892,1.8710855183481268,0.0,2.6461145164078133,0.0,1.0,1.0
Itga2,2.2176727984051587,2.1630413328946534,0.0,3.0590023889531954,0.0,1.0,1.0
Itga2b,-0.5638107109634638,1.1396149811035197,0.0,1.6116589621601558,0.0,1.0,1.0
Itga3,-0.19886185889793662,0.24494558042294634,0.0,0.3464053618774804,0.0,1.0,1.0
Itga4,0.24228951592593814,0.2629010679358143,0.0,0.37179825583719905,0.0,1.0,1.0
Itga5,-0.17764065486761174,0.704270733873038,0.0,0.995989223425703,0.0,1.0,1.0
Itga6,0.3602026966328574,0.430827508743215,0.0,0.6092821059080679,0.0,1.0,1.0
Itga7,0.21613187580933424,0.41856628041229954,0.0,0.591942110511134,0.0,1.0,1.0
Itga8,0.016955005570323374,0.214454046194182,0.0,0.30328382063359843,0.0,1.0,1.0
Itga9,-0.07460277736394705,0.11758608336976573,0.0,0.16629183384785615,0.0,1.0,1.0
Itgae,-1.383197049069547,2.633312768946821,0.0,3.7240666318148428,0.0,1.0,1.0
Itgal,0.06730211000017557,1.2713042404661667,0.0,1.7978956987696795,0.0,1.0,1.0
Itgam,-0.0866753578369948,0.30047757180402584,0.0,0.42493945723418886,0.0,1.0,1.0
Itgav,0.004342160503516666,0.08137902367335029,0.0,0.11508731897153314,0.0,1.0,1.0
Itgax,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Itgb1,-0.027326690851245148,0.08462100765523274,0.0,0.11967217668770765,0.0,1.0,1.0
Itgb2,-0.5394371022800485,0.6812911480751823,0.0,0.9634911815326593,0.0,1.0,1.0
Itgb3,-0.8175181165701361,0.5174214362069627,0.0,0.7317444125464518,0.0,1.0,1.0
Itgb4,-1.7296041678018106,0.6353470084772079,0.0,0.8985163562016412,0.0,1.0,1.0
Itgb5,-0.380414568401224,0.20457622596748012,0.0,0.28931447330231336,0.0,1.0,1.0
Itgb6,1.5962898319944587,4.214277946543864,0.0,5.959889027612169,0.0,1.0,1.0
Itgb7,-0.40990542078254455,0.9916937778703069,0.0,1.4024667903851995,0.0,1.0,1.0
Itgb8,-0.009702288669868225,0.08788704813246699,0.0,0.12429105542587182,0.0,1.0,1.0
Itih5,-0.07992051443181518,0.12776240179103526,0.0,0.18068332137424267,0.0,1.0,1.0
Itk,0.6405546295120168,2.0578735467021625,0.0,2.910272679395021,0.0,1.0,1.0
Itln1,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Itpa,-0.2810075853508801,0.22925522301402718,0.0,0.32421584563130573,0.0,1.0,1.0
Itpkb,-0.20573753721676474,0.13485004388099583,0.0,0.1907067609431113,0.0,1.0,1.0
Itpr1,-0.0686420443787286,0.1368236205856941,0.0,0.1934978198852792,0.0,1.0,1.0
Itpr2,-0.0826723451132048,0.10106990564556541,0.0,0.14293443131172764,0.0,1.0,1.0
Itpr3,-1.2767870395473526,0.9436441488201057,0.0,1.3345143533154087,0.0,1.0,1.0
Itsn1,0.029635183708509084,0.10531373044294715,0.0,0.14893610589652015,0.0,1.0,1.0
Itsn2,0.023340850400615898,0.1160781904384458,0.0,0.16415935121377698,0.0,1.0,1.0
Ivd,-0.0341645632928657,0.10976862391674107,0.0,0.15523627666608691,0.0,1.0,1.0
Izumo1r,-1.8326588880258214,3.6529569701186935,0.0,5.166061289907185,0.0,1.0,1.0
Jade1,-0.0576820035641983,0.19093951630831357,0.0,0.2700292535561758,0.0,1.0,1.0
Jade2,0.16363403020095427,0.14966776326743633,0.0,0.2116621806628542,0.0,1.0,1.0
Jade3,0.02074430767340819,0.2925418199479379,0.0,0.4137166093316818,0.0,1.0,1.0
Jag1,-0.4071881102097827,0.1525964437579367,0.0,0.21580396033237734,0.0,1.0,1.0
Jag2,0.18741771610025543,0.2033942097070422,0.0,0.2876428498758565,0.0,1.0,1.0
Jak1,-0.102846776161782,0.10933133447478646,0.0,0.15461785600659214,0.0,1.0,1.0
Jak2,0.1980599741480941,0.10334574666633108,0.0,0.1461529565490995,0.0,1.0,1.0
Jak3,0.1813303984466074,0.41322815632368043,0.0,0.5843928630273784,0.0,1.0,1.0
Jam2,-0.024692765254543662,0.08844638207740597,0.0,0.12508207307670016,0.0,1.0,1.0
Jam3,-0.02082778938862884,0.10922624937500998,0.0,0.15446924323328493,0.0,1.0,1.0
Jaml,-0.8187452183244939,1.3789161419863187,0.0,1.9500819093722364,0.0,1.0,1.0
Jarid2,0.09117809947763615,0.1451212029918346,0.0,0.20523237345895146,0.0,1.0,1.0
Jazf1,0.04683789616613972,0.26359836983546586,0.0,0.3727843896407548,0.0,1.0,1.0
Jchain,-0.32476789705491294,1.11127851991865,0.0,1.5715851544428543,0.0,1.0,1.0
Jmjd6,0.23226070761584428,0.13634551717352225,0.0,0.1928216795555689,0.0,1.0,1.0
Jph2,-0.33486684611784534,0.8991758961241015,0.0,1.2716267472576857,0.0,1.0,1.0
Jpt1,0.05387907377035112,0.12519235219996797,0.0,0.17704872238658387,0.0,1.0,1.0
Jun,-0.2877176577028362,0.12343905300781631,0.0,0.17456918289014522,0.0,1.0,1.0
Jup,0.025802371771116047,0.149071561410921,0.0,0.2108190239114582,0.0,1.0,1.0
Kansl2,-0.08760045075227006,0.0971046202349772,0.0,0.13732667090539363,0.0,1.0,1.0
Kat14,-0.10172343323135348,0.12839370169476574,0.0,0.18157611426002315,0.0,1.0,1.0
Kat2a,0.005756741444985183,0.10426532660825216,0.0,0.14745343897465055,0.0,1.0,1.0
Kat2b,-0.12637759674859,0.19858744086421873,0.0,0.2808450521871431,0.0,1.0,1.0
Kat5,-0.031413777531736346,0.11169116249053809,0.0,0.1579551567913361,0.0,1.0,1.0
Kat6a,-0.11243137517384742,0.14358046024071972,0.0,0.20305343416419674,0.0,1.0,1.0
Kat6b,0.030505637470766383,0.19962583463729586,0.0,0.28231356274411257,0.0,1.0,1.0
Kat8,0.062419804953982805,0.16543896692605406,0.0,0.23396603077181957,0.0,1.0,1.0
Katna1,0.03346964014399648,0.20552115532136378,0.0,0.29065080521006004,0.0,1.0,1.0
Katnal2,-0.016234491473988626,0.35340000932246896,0.0,0.4997830861266138,0.0,1.0,1.0
Kcna10,0.13028469658756273,2.2969104137361858,0.0,3.248321858661711,0.0,1.0,1.0
Kcna4,-0.1676689107501221,0.20646665090295455,0.0,0.29198793788470956,0.0,1.0,1.0
Kcnab2,0.1442304780788858,0.11882986840232737,0.0,0.16805081150958148,0.0,1.0,1.0
Kcnab3,0.08823831356876538,0.1717602054896211,0.0,0.2429056120794119,0.0,1.0,1.0
Kcnc1,-0.053018822062304245,0.12383145568599505,0.0,0.17512412407953712,0.0,1.0,1.0
Kcnc2,0.12434467126240861,0.1370742256117871,0.0,0.19385222891197876,0.0,1.0,1.0
Kcnc4,-0.15184931972068919,0.14716203640207037,0.0,0.20811854774625105,0.0,1.0,1.0
Kcnf1,-0.04832758785306912,0.17578210353930188,0.0,0.24859343484775234,0.0,1.0,1.0
Kcng1,-0.056712983418802355,0.24773611301594026,0.0,0.3503517709167365,0.0,1.0,1.0
Kcng2,-0.30641237494127316,0.37092686652142115,0.0,0.5245698052831486,0.0,1.0,1.0
Kcnh1,0.2148037470246652,0.17509347537948183,0.0,0.24761956756470282,0.0,1.0,1.0
Kcnh2,0.10153334097747245,0.203793874208836,0.0,0.28820806083469236,0.0,1.0,1.0
Kcnh5,0.058221302472889966,0.11497894735022986,0.0,0.1626047867300771,0.0,1.0,1.0
Kcnh8,-0.22640777475666263,0.13687852068041487,0.0,0.19357546034380888,0.0,1.0,1.0
Kcnip3,-0.13588565702133357,0.09452004813261314,0.0,0.13367153398529924,0.0,1.0,1.0
Kcnj10,0.033113788750105067,0.08299747461643804,0.0,0.11737615424528337,0.0,1.0,1.0
Kcnj11,-0.045320378333069185,0.2295043956658275,0.0,0.3245682289748542,0.0,1.0,1.0
Kcnj2,-0.0967415023962677,0.38661469359499445,0.0,0.5467557430947597,0.0,1.0,1.0
Kcnj3,-0.021700027673334385,0.12977351077800323,0.0,0.1835274589790232,0.0,1.0,1.0
Kcnj5,-0.055660299434691,0.8085318669611435,0.0,1.1434367318672882,0.0,1.0,1.0
Kcnj6,0.30992825817022535,0.3212638607852341,0.0,0.45433570902282,0.0,1.0,1.0
Kcnj8,-0.43090716606952056,0.6872478696863751,0.0,0.9719152580224891,0.0,1.0,1.0
Kcnj9,-0.10594230507027201,0.2438495890566061,0.0,0.34485539602295817,0.0,1.0,1.0
Kcnk10,0.08498567835586761,0.14562864636513603,0.0,0.2059500067596107,0.0,1.0,1.0
Kcnk18,-0.8350271469761584,2.9032669135968714,0.0,4.105839444397772,0.0,1.0,1.0
Kcnk2,-0.028714043727017337,0.13023065166439263,0.0,0.18417395382047033,0.0,1.0,1.0
Kcnk5,-0.5912519657371854,1.1940334301794109,0.0,1.6886182708865909,0.0,1.0,1.0
Kcnma1,0.08323017550103196,0.10399187047422066,0.0,0.1470667136011891,0.0,1.0,1.0
Kcnmb2,0.5784696364104636,0.6782861766537039,0.0,0.9592415101938611,0.0,1.0,1.0
Kcnn2,0.2372509054927344,0.15633042695803603,0.0,0.22108461001563107,0.0,1.0,1.0
Kcnn4,-1.4272509234870918,1.2888817722159658,0.0,1.822754082563289,0.0,1.0,1.0
Kcnq1,-0.5470549866002297,0.9959666500473373,0.0,1.4085095441682425,0.0,1.0,1.0
Kcnq3,-0.023569491465762236,0.14317304947712006,0.0,0.20247726833685736,0.0,1.0,1.0
Kcns2,-0.00768383192560933,0.20875700577423567,0.0,0.2952269888063226,0.0,1.0,1.0
Kcns3,0.049724297387631934,0.5439688852874761,0.0,0.769288175082523,0.0,1.0,1.0
Kcnt2,-0.014384514880999845,0.11457834423527988,0.0,0.16203824837178593,0.0,1.0,1.0
Kctd15,-0.06111245233893016,0.19207290526027476,0.0,0.27163210758348316,0.0,1.0,1.0
Kdf1,0.007872184734328982,3.730928211743855,0.0,5.276329277288558,0.0,1.0,1.0
Kdm1a,-0.011517126950254327,0.1200225064707214,0.0,0.16973745644090674,0.0,1.0,1.0
Kdm1b,0.10410509396365376,0.22363620230653417,0.0,0.31626935033951387,0.0,1.0,1.0
Kdm2a,0.010664914397222766,0.12437883462150816,0.0,0.1758982347938971,0.0,1.0,1.0
Kdm2b,0.2264746263797266,0.2671938605330394,0.0,0.37786918134864955,0.0,1.0,1.0
Kdm4a,-0.07396396609602708,0.10620933541311958,0.0,0.15020268259186675,0.0,1.0,1.0
Kdm4b,0.0865544230569563,0.12530641721076713,0.0,0.1772100346718483,0.0,1.0,1.0
Kdm4c,0.022268097958128695,0.11289758321725472,0.0,0.15966129334498674,0.0,1.0,1.0
Kdm5a,-0.09584674689337883,0.11463052487770899,0.0,0.16211204294400253,0.0,1.0,1.0
Kdm5b,0.06916508519458016,0.09420331632624339,0.0,0.1332236075690962,0.0,1.0,1.0
Kdm5c,-0.16978946562787633,0.15882472399328543,0.0,0.22461207871146777,0.0,1.0,1.0
Kdm6a,-0.08010314125889009,0.1614956578624196,0.0,0.22838934961339896,0.0,1.0,1.0
Kdm6b,-0.0353216633071351,0.1512318084856908,0.0,0.21387407462267444,0.0,1.0,1.0
Kdm7a,0.0832135295560222,0.15290917445272795,0.0,0.21624622832232143,0.0,1.0,1.0
Kdm8,0.17480283732642807,0.20901845665066277,0.0,0.2955967361816601,0.0,1.0,1.0
Kdr,-0.005988059018161442,1.104238616276291,0.0,1.5616292272340304,0.0,1.0,1.0
Keap1,0.07405152558144916,0.14973398305618488,0.0,0.21175582958619987,0.0,1.0,1.0
Khdrbs1,-0.010247444823804658,0.08088413119726537,0.0,0.11438743531993745,0.0,1.0,1.0
Khdrbs2,-0.16995774293978305,0.12181999314900982,0.0,0.1722794864795272,0.0,1.0,1.0
Khsrp,-0.12258918227902824,0.10482901682844649,0.0,0.14825061732902645,0.0,1.0,1.0
Kif19a,0.07396557207962662,0.2625085704690739,0.0,0.3712431805965376,0.0,1.0,1.0
Kif1b,0.03132703599742504,0.07206501700930312,0.0,0.10191532442720426,0.0,1.0,1.0
Kif1c,-0.03795140278236492,0.11018374828665857,0.0,0.15582335118009583,0.0,1.0,1.0
Kif20a,-0.31988640545232355,0.4655992114884329,0.0,0.6584567195171608,0.0,1.0,1.0
Kif20b,0.16620527547074915,0.3523343260569849,0.0,0.4982759823993722,0.0,1.0,1.0
Kif21b,-0.05573885978142143,0.08476449074670547,0.0,0.1198750924216396,0.0,1.0,1.0
Kif24,0.3691873134808958,0.500978960770346,0.0,0.708491240785002,0.0,1.0,1.0
Kif2b,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
