,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Aldh1l1,94.01842387343544,-0.31276917352000094,0.21678520025909515,-1.442760728805235,0.14908788534361203,0.9996638889971189
Aldh1l2,91.5533556676673,-0.24047462226325841,0.22401036855817807,-1.073497730533863,0.2830478563746618,0.9996638889971189
Aldh2,33.52139321739999,0.06815015440135253,0.3419790452880068,0.19928166751842366,0.8420424187686656,0.9996638889971189
Aldh3a1,0.7837456398238798,-0.57691276426216,2.174999900229523,-0.26524726010391064,0.7908189900038265,0.9996638889971189
Aldh4a1,149.81846206049974,0.04459777233295832,0.16721373366624306,0.2667111806855233,0.7896915447249468,0.9996638889971189
Aldh9a1,166.51045347151594,-0.06684000837759997,0.17126901638795874,-0.39026328163287816,0.6963418719082688,0.9996638889971189
Aldoa,4913.366377776288,0.02794154778367964,0.07552632533877045,0.3699577287568129,0.7114139868064162,0.9996638889971189
Aldoc,3733.8937654991623,-0.022936240053474256,0.10757461332919002,-0.21321238667423204,0.831161307225831,0.9996638889971189
Alg13,90.56649292482636,-0.07194171576093453,0.21397192525550288,-0.3362203507540967,0.7367047076267581,0.9996638889971189
Alk,77.43852980733284,0.4223195445841001,0.23774610609040517,1.7763468412959378,0.07567576711310221,0.9996638889971189
Alkbh5,192.32371741178466,0.1206066613194044,0.15730319140780302,0.7667146498429002,0.44325119150596304,0.9996638889971189
Alox12,1.9031515096223879,-0.8036456490121241,1.4050405047728014,-0.5719732963442756,0.5673400658372937,0.9996638889971189
Alox12b,1.92279577741672,-0.6487624908151456,1.4356896507703103,-0.45188212540715617,0.6513539020105048,0.9996638889971189
Alox12e,0.44706900936156546,-0.8350271469761584,2.9032669135968714,-0.2876163893390151,0.7736403978925263,0.9996638889971189
Alox15,1.1412128822448975,-0.5215600264960262,1.7763890866274128,-0.2936068626081468,0.7690583312025546,0.9996638889971189
Alox5,3.5993572757800574,-0.6432194678836681,1.0227646542137578,-0.6289027150416514,0.5294127484784947,0.9996638889971189
Alpl,189.1522728577538,-0.04648400792303055,0.1543332307121351,-0.301192476231728,0.7632677267081875,0.9996638889971189
Als2,173.82859132674685,-0.051866316492508974,0.1714695720398771,-0.30248116838156514,0.7622852869799546,0.9996638889971189
Alx1,0.19311995885281633,0.9696559469615652,4.4278623964229755,0.2189896297917696,0.8266581259447914,0.9996638889971189
Alx4,0.0,,,,,
Ambra1,528.1385803701737,0.01439646275994346,0.10377937087516062,0.13872181569939757,0.8896699783431654,0.9996638889971189
Amd1,507.7461954254418,-0.03518027567977127,0.10697319874001011,-0.3288699982252017,0.7422539520237377,0.9996638889971189
Amelx,0.19311995885281633,0.9696559469615652,4.4278623964229755,0.2189896297917696,0.8266581259447914,0.9996638889971189
Amer1,73.14594068366223,-0.15346963365022784,0.23542688060245825,-0.6518781256307628,0.514479797194602,0.9996638889971189
Amfr,1688.1899140797666,0.007282606638110506,0.08742073598411765,0.08330525425264766,0.9336088225295341,0.9996638889971189
