,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Hcrtr2,53.93590589714396,0.3602417555096541,0.31489752592555353,1.1439967794310986,0.252624972625869,0.9998186074426537,5.371313449056415,1.0,4.8689708968718755,5.873656001240955,5.073283303367369,5.6693435947454605
Hdac1,1059.6658085433494,-0.13241783280080113,0.1481713465090365,-0.8936804309376064,0.3714928985677395,0.9998186074426537,102.38929958057389,1.0,104.32412997858808,100.45446918255975,93.18743241849639,111.59116674265141
Hdac2,1458.1735634619733,-0.03802507601487815,0.10942800000087734,-0.34748945438620177,0.7282236397027565,0.9998186074426537,155.52455542319703,1.0,153.41765452406938,157.63145632232462,157.58052220731233,153.46858863908173
Hdac3,3050.086321752773,-0.05988312127141185,0.10874667193261679,-0.5506662429956248,0.58186248944187,0.9998186074426537,315.71011127923936,1.0,312.58293550660346,318.83728705187525,310.1057026818267,321.31451987665207
Hdac4,1530.1908833868886,0.05805691423804394,0.13122711899377346,0.44241552114543237,0.6581885494639654,0.9998186074426537,157.88612347242545,1.0,153.2012924521375,162.57095449271335,154.63502707534735,161.13721986950347
Hdac5,2319.181876843581,-0.04208342821869187,0.11032646675847281,-0.38144453869642264,0.7028734174923399,0.9998186074426537,247.00985579596613,1.0,246.50094634593867,247.51876524599368,249.67377613819426,244.3459354537381
Hdac6,1498.1595756603876,-0.021866261911806323,0.12989882464026634,-0.16833302358478897,0.8663212954627705,0.9998186074426537,148.7526200469492,1.0,144.52266193661896,152.9825781572794,139.63468338403416,157.8705567098642
Hdac8,449.9961808067321,-0.0794428435520989,0.151275644098386,-0.5251529023431637,0.5994769026128337,0.9998186074426537,47.88266606890297,1.0,47.272727739418656,48.492604398387265,48.443475953046224,47.3218561847597
Hdac9,404.0615462609142,-0.08794575474622573,0.13952415764546336,-0.630326362332891,0.5284810784220882,0.9998186074426537,41.1561450822643,1.0,43.16372725026127,39.14856291426735,39.839241215437845,42.47304894909076
Hdc,27.73770212598406,-1.437140244609218,0.592778102228774,-2.4244152056321653,0.015333063603700015,0.4702453064717569,2.5003737451336776,1.0,3.1528459791186685,1.8479015111486856,2.0918505980145525,2.908896892252802
Hdgfl2,2200.7764908032627,-0.09510005245556215,0.15686856625789908,-0.6062403368895035,0.5443551709650382,0.9998186074426537,233.8307815907773,1.0,222.5209617002645,245.14060148129008,236.72972480727026,230.93183837428433
Hecw2,2056.603838462234,0.041416477869826204,0.1612655421538431,0.2568216205190069,0.7973164789734709,0.9998186074426537,225.605653470019,1.0,215.19205966916297,236.01924727087507,235.35747613595697,215.853830804081
Hells,113.41491055133099,0.5913225074052426,0.27064012651067665,2.184903306945192,0.028895937002091643,0.5835761891970282,12.48292411006006,1.0,10.601976289470871,14.363871930649251,13.026122446584429,11.93972577353569
Herc6,426.04916761424465,-0.08088283735450516,0.16450407949655507,-0.4916767876033065,0.6229478503080179,0.9998186074426537,40.64074718362918,1.0,40.01154445376224,41.26994991349611,36.37460353793099,44.906890829327374
Hes1,267.4392715788858,0.10293765782187705,0.19701610134212444,0.5224834778509939,0.6013337471969418,0.9998186074426537,25.472469735551993,1.0,23.947485561593822,26.99745390951016,22.789218756428323,28.155720714675667
Hes2,1.5410963383782288,0.15661463722051572,1.678940099549214,0.09328184922295076,0.9256796514250717,0.9998186074426537,0.1309990150267046,0.75,0.11048990355355863,0.15150812649985057,0.10340199124549536,0.15859603880791387
Hes5,156.76999078667117,-0.12419929540124386,0.2694831957660233,-0.4608795552101102,0.6448850206303066,0.9998186074426537,16.22338588274427,1.0,16.661076480457453,15.785695285031087,15.928962844577748,16.517808920910788
Hes6,347.61894888096003,0.10124175892236091,0.15499775668633536,0.653182091707566,0.5136388939858034,0.9998186074426537,34.27182387306948,1.0,32.37925892091758,36.16438882522139,31.87441041215618,36.669237333982785
Hesx1,0.6672395370942913,-0.32105409468556956,2.4575832041028014,-0.13063813837496416,0.8960615711911053,,0.07707968397809432,0.5,0.03740793500155438,0.11675143295463426,0.08510552987981258,0.06905383807637606
Hexa,1552.317859669877,0.29406477928821084,0.19330687291720933,1.5212329228157073,0.12820139629374688,0.9698974955250178,151.5444285518417,1.0,135.24332572864145,167.84553137504193,138.97601067265228,164.11284643103113
Hexb,3822.964358045259,0.32222762825034146,0.15477141440005898,2.081958283442673,0.03734628032812149,0.6311238906237838,396.08433830093526,1.0,367.2776671387296,424.89100946314085,388.0129381418528,404.15573846001763
Hey1,1104.5232032052895,0.07016858690983473,0.13482717359148422,0.5204335672157606,0.6027614193089977,0.9998186074426537,112.61347264753512,1.0,106.9706765261249,118.25626876894536,108.73399557586328,116.49294971920699
Hey2,96.79483741993617,0.4620156114298286,0.23922574236878194,1.9312955489447357,0.053446513523926424,0.7331164024343533,10.006812276041916,1.0,8.857108223575494,11.156516328508333,9.778847854939302,10.234776697144527
Heyl,85.36971854586996,0.11267666019174087,0.297072364239286,0.3792902799298491,0.7044723168698593,0.9998186074426537,9.454358064325051,1.0,9.644010711635948,9.26470541701416,9.901426851384793,9.007289277265311
Hfe,36.34818376510585,-0.020328979628518207,0.3744379029242945,-0.054291991995875505,0.9567025296065497,0.9998186074426537,4.075847884251255,1.0,3.820707206303568,4.3309885621989395,4.325712009974327,3.8259837585281815
Hfm1,31.29574452342518,-0.1588677915735522,0.38724844159284977,-0.41024772345135646,0.6816242359359501,0.9998186074426537,3.3439615473795548,1.0,3.3389641715374494,3.3489589232216606,3.3848843590902913,3.3030387356688187
Hgf,83.52022123455536,-0.41261681022052676,0.2747670047483647,-1.501697085493969,0.13317535694348734,0.9745212678197277,7.845137798324152,1.0,8.602292093810712,7.087983502837591,6.895535461820248,8.794740134828057
Hgs,2205.794583384343,-0.012879094773190203,0.1204943278891236,-0.1068854858051184,0.9148798278719683,0.9998186074426537,225.28539476717114,1.0,222.24056808109842,228.33022145324387,218.2720838333748,232.29870570096747
Hhex,57.31193204302438,0.16790807946101452,0.31674402240091226,0.5301065453051812,0.5960380612392501,0.9998186074426537,5.934797267363142,1.0,5.964302488760083,5.905292045966202,5.83519242163932,6.034402113086965
Hibadh,3398.901620740708,0.12832371309051618,0.10146003995763031,1.2647709693797098,0.20595344089911272,0.9998186074426537,343.6689058807765,1.0,337.4652979808831,349.87251378066986,329.4391677600341,357.8986440015189
Hic1,68.44480484810022,-0.04342938918782023,0.3482710152286979,-0.12469998159135239,0.9007610719758269,0.9998186074426537,6.369450606144988,1.0,6.471975034370172,6.266926177919804,5.537977467020855,7.200923745269122
Hif1a,4784.131362006352,-0.026332943442266398,0.10400222313625267,-0.25319596685705237,0.8001167829810168,0.9998186074426537,506.8694383324041,1.0,500.432959129957,513.3059175348513,510.36510913237936,503.37376753242893
Hif1an,911.1548953821284,0.051790528544447434,0.13586529527745733,0.38119026966145697,0.7030620687405515,0.9998186074426537,89.81448713145129,1.0,87.82667995107538,91.80229431182717,83.6185409505077,96.01043331239485
Hif3a,110.2717011567152,0.6513056679689408,0.45986661929118217,1.4162925523336185,0.15668986749239122,0.9998186074426537,11.431699949421471,1.0,8.294192541283222,14.56920735755972,11.359816180195843,11.503583718647098
Hikeshi,303.9498996131011,0.025389552093378037,0.1473928626920366,0.1722576767263629,0.8632349560061588,0.9998186074426537,29.435020219904587,1.0,27.873745978598553,30.99629446121062,26.877057632432756,31.99298280737641
Hip1r,1677.6320139147758,-0.3558615683652991,0.2081808114030156,-1.7093869793618466,0.08737929119064301,0.8577296462479441,216.56998634714114,1.0,234.60206332497935,198.53790936930292,257.71096927878756,175.42900341549475
Hipk2,8559.30600974781,-0.17601730366242668,0.17706490537514682,-0.9940835158130259,0.32018220987731705,0.9998186074426537,837.8738392574342,1.0,862.8308731599094,812.9168053549587,777.9530744376995,897.7946040771685
Hira,585.3350433436658,-0.004335957917575717,0.14122420407004077,-0.030702654308643013,0.975506674329654,0.9998186074426537,61.606130802250966,1.0,59.77132071493448,63.440940889567464,61.485687143048644,61.72657446145329
Hist1h2ba,1.6010431619857457,0.22868353300583036,1.5015381864571806,0.15229951197271915,0.8789507098196883,0.9998186074426537,0.16885442394756076,0.75,0.1848085311779073,0.15290031671721416,0.1673734960752522,0.17033535181986928
Hist1h2bc,4445.76999900809,-0.08514057538794256,0.15055069909796684,-0.5655275989953364,0.5717149575620477,0.9998186074426537,460.57515508345995,1.0,481.11228289396325,440.0380272729565,454.2537355887427,466.8965745781772
Hist1h4h,152.34953115047534,-0.3827929756590548,0.26518057476591994,-1.4435181611509578,0.14887456027090995,0.9959236339463649,26.59675163371423,1.0,27.544590870767582,25.64891239666088,37.19523824096732,15.998265026461135
Hist2h2bb,1419.6273568538506,0.17554139730895985,0.1132366368581346,1.5502173340672598,0.12108936070128445,0.9579853928733114,160.72996575345076,1.0,155.77997489992893,165.6799566069726,171.76166640434647,149.69826510255504
Hist2h2be,273.34254526082356,0.10572151949777067,0.18732732736932892,0.5643678420144933,0.5725038195683755,0.9998186074426537,27.252014550406187,1.0,25.770670815231995,28.73335828558038,25.690461927949645,28.813567172862722
Hivep2,4007.7561217770176,0.028715708453498242,0.13092086983862886,0.21933637080851054,0.8263880317996108,0.9998186074426537,393.861093787126,1.0,382.0583874212775,405.66380015297455,365.7451585575947,421.9770290166573
Hjv,4.771026587852937,-0.30607569038750226,0.9148767015511862,-0.3345540332031045,0.7379615247003326,0.9998186074426537,0.539628652828883,1.0,0.592293330463959,0.4869639751938068,0.5825663591472253,0.4966909465105404
Hk1,2693.5720297915595,0.07505780870944577,0.14226489837821035,0.527591904714999,0.5977826128970651,0.9998186074426537,283.00281889043094,1.0,275.26269129685573,290.74294648400615,282.3665009684021,283.6391368124598
