,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Fam49b,5627.238074036795,-0.04424118537233617,0.09947174578348976,-0.44476132417170555,0.6564922469271528,0.9999115808203716
Fam83d,533.3835860821036,0.009637333004628542,0.740197795184103,0.013019942868421449,0.9896118821006549,0.9999115808203716
Fam92a,1858.8845190579407,-0.12869152532973907,0.11206778007784532,-1.1483365267014878,0.2508296656778404,0.9999115808203716
Fancc,252.30778239584777,0.01568492999815657,0.16442692632506725,0.09539149304018445,0.9240038728368877,0.9999115808203716
Fanci,5.361662922909811,-0.0682791930009233,0.8916924029167321,-0.07657258576789663,0.9389635682926705,0.9999115808203716
Fancl,242.98539598982427,-0.13006392076323536,0.1691986974133481,-0.7687052131701259,0.442068329432428,0.9999115808203716
Fap,21.907319054144367,-0.054926735006224824,0.4431301576316354,-0.12395169694562798,0.901353520277848,0.9999115808203716
Far2,288.24764900616,0.04581189984283077,0.2032306836567886,0.22541822434744585,0.8216539354715289,0.9999115808203716
Fas,38.053279661771484,0.05790352860477505,0.40096078423164166,0.1444119497016028,0.8851751812222135,0.9999115808203716
Fasl,9.673839769153421,0.000779885255599166,0.658744110203689,0.0011838971210809295,0.9990553869861741,0.9999115808203716
Fasn,10463.01956571363,-0.10685796947359842,0.16346774891230295,-0.6536945066205414,0.5133086431383664,0.9999115808203716
Fat1,5604.967143244062,0.05944018759555424,0.1471251268359643,0.4040111221914289,0.686204540414723,0.9999115808203716
Fat4,164.40294122290155,-0.08514602737929358,0.21470791009690565,-0.3965667931883088,0.6916869440168623,0.9999115808203716
Fbh1,1203.7401868669572,0.08906737658555075,0.1236848371455817,0.7201155666374456,0.4714538438488849,0.9999115808203716
Fbl,719.8705860901638,0.19827801322024044,0.2555476266774029,0.7758945594534588,0.43781124522152304,0.9999115808203716
Fbln1,103.06364418657974,-0.1589983064578866,0.25472195596216046,-0.6242033823009202,0.5324940258918689,0.9999115808203716
Fbln2,31.890914471378924,0.31347393794193973,0.3871602468937574,0.8096749096969186,0.4181270420255807,0.9999115808203716
Fbn1,93.48237015927923,-0.19137601849803915,0.2873120181390296,-0.6660912402398452,0.505352783247455,0.9999115808203716
Fbxl12,604.1611350056322,0.09145324829357565,0.14765343260447727,0.6193777325756701,0.535667546861119,0.9999115808203716
Fbxl13,4.2368163654453985,-0.8155018500972872,0.9733073474289158,-0.8378667357762305,0.4021055527631877,0.9999115808203716
Fbxl16,850.9688278561695,-0.10109829359745857,0.19743116903487065,-0.5120685557993248,0.6086030303898768,0.9999115808203716
Fbxl17,1356.0987790056063,-0.04585407533118856,0.11670462651584962,-0.39290709117655354,0.6943881039241034,0.9999115808203716
Fbxl19,1310.564529821404,0.06674978800576058,0.11556104695082058,0.5776149469653676,0.5635241133438754,0.9999115808203716
Fbxl20,2066.6188999389483,-0.02731187654466081,0.09968358265210783,-0.27398570374399855,0.7840956081910829,0.9999115808203716
Fbxl3,2887.5926818192147,0.027942450374447807,0.09704144627908337,0.2879434658680537,0.7733900142836876,0.9999115808203716
Fbxl4,640.7940472846955,-0.054961858916354536,0.12158033893183225,-0.452062063646414,0.6512242721793694,0.9999115808203716
Fbxl7,36.64240542928041,-0.7301084952035392,0.38428990264085794,-1.8998898752899824,0.05744757298915909,0.9999115808203716
Fbxo11,2051.7529252931927,0.014298207702666888,0.11395434461949887,0.1254731247887876,0.9001490001853576,0.9999115808203716
Fbxo17,75.73028287672173,0.18948662535579505,0.32831182020882727,0.577154441881713,0.5638351298527119,0.9999115808203716
Fbxo2,3963.724502068151,-0.06642471247671167,0.12862341661187626,-0.5164278342655877,0.6055556296337523,0.9999115808203716
Fbxo21,2047.4947550627903,-0.03052964313845827,0.11838558937738718,-0.2578831029943729,0.7964971257672093,0.9999115808203716
Fbxo3,2884.427478060012,0.020255230004099675,0.09922286805467105,0.20413872730366142,0.8382450914772883,0.9999115808203716
Fbxo31,1568.8329825222843,0.0952412399098052,0.14244556154714652,0.6686150054474131,0.5037410980770629,0.9999115808203716
Fbxo32,1134.9584840142686,-0.169181830471293,0.1451115649374371,-1.1658742054379572,0.24366530941043196,0.9999115808203716
Fbxo33,1583.2711771304637,0.04418292651220675,0.1093799958700055,0.4039397346907627,0.6862570362252594,0.9999115808203716
