,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Tent5c,0.124699890756558,0.5930723433410354,0.0,0.8387309514212851,0.0,1.0,1.0,5.750411375153153,1.0,4.992137938297362,6.508684812008945,5.420470153866913,6.080352596439394
Tepsin,0.2689355060270584,0.15912487060146785,0.0,0.22503655011545962,0.0,1.0,1.0,66.87708883726653,1.0,65.01225488964151,68.74192278489153,66.63953137600214,67.1146462985309
Terf1,-0.04000679467702411,0.13153015604682486,0.0,0.18601173054246928,0.0,1.0,1.0,86.87051126630841,1.0,89.60866975769774,84.13235277491907,93.60269764276298,80.13832488985385
Terf2,0.021261268645534213,0.1133011372697292,0.0,0.16023200495914677,0.0,1.0,1.0,170.65203028819053,1.0,168.51405896991528,172.79000160646578,171.08267284970384,170.22138772667725
Tert,0.32365788155579417,0.589448324478101,0.0,0.8336058147950273,0.0,1.0,1.0,2.6689294991097636,1.0,2.6905954391878724,2.647263559031654,3.477334264857401,1.8605247333621253
Tesmin,-0.18598555760601876,0.3461031903592898,0.0,0.4894638257867047,0.0,1.0,1.0,9.52684740580983,1.0,10.573613419665149,8.480081391954508,10.609935865973712,8.443758945645945
Tespa1,0.5215646094140852,2.156105254442621,0.0,3.0491932927366476,0.0,1.0,1.0,0.29551322033416444,0.5833333333333334,0.3274571340644832,0.26356930660384575,0.33054129237370833,0.26048514829462055
Tet1,0.007081788957816696,0.12239903686330525,0.0,0.1730983779534907,0.0,1.0,1.0,151.09678375688782,1.0,152.63482626723123,149.5587412465444,149.07166799254273,153.12189952123293
Tet2,0.03747794573668058,0.1062023315758375,0.0,0.1501927776701938,0.0,1.0,1.0,214.89156229763557,1.0,216.01995682581284,213.7631677694583,199.28097701350717,230.50214758176398
Tet3,0.050922777971958606,0.1311370292191026,0.0,0.18545576525097177,0.0,1.0,1.0,128.32744510240434,1.0,129.48827891905827,127.16661128575039,128.85089315912188,127.80399704568681
Tex101,-0.2693873095081867,1.5107844806394728,0.0,2.1365719023431353,0.0,1.0,1.0,0.5346816852201287,1.0,0.6300853764667805,0.43927799397347705,0.4549739311807299,0.6143894392595276
Tex19.1,-0.6168529473017125,1.2906758010560067,0.0,1.8252912224801634,0.0,1.0,1.0,0.500131469367359,1.0,0.5831851743615438,0.4170777643731743,0.642856226159579,0.3574067125751392
Tfam,0.1752920599977987,0.1695137835804432,0.0,0.23972869174864045,0.0,1.0,1.0,53.5248745294717,1.0,51.902462411536966,55.14728664740644,52.808569683830775,54.24117937511263
Tfap2a,0.7350823535587643,0.8085934886434822,0.0,1.1435238780861878,0.0,1.0,1.0,1.5586372716680064,1.0,1.2222956504163698,1.8949788929196434,1.7213217331404806,1.3959528101955323
Tfap2b,0.591614030422008,0.8943620671007884,0.0,1.264818964965971,0.0,1.0,1.0,1.2532226093769288,1.0,0.9385962372668463,1.5678489814870116,1.5109349544045465,0.9955102643493109
Tfap2c,0.3575813401567669,0.8648949240643282,0.0,1.2231461316394212,0.0,1.0,1.0,2.115734152129056,1.0,1.8801337718366125,2.351334532421499,2.639203956664431,1.5922643475936804
Tfap2d,-0.10856631740215975,0.864745960372978,0.0,1.2229354651668125,0.0,1.0,1.0,1.824568383408571,1.0,2.180958346168271,1.4681784206488715,1.6701834924525005,1.9789532743646416
Tfeb,0.04194763922600233,0.1607858296542364,0.0,0.2273855009344313,0.0,1.0,1.0,132.76292131433223,1.0,133.2987579717616,132.22708465690283,132.34564022762729,133.18020240103715
Tfpi,0.04397033801404058,0.3823391847386717,0.0,0.5407092604841017,0.0,1.0,1.0,7.735496938179302,1.0,7.120246386493723,8.350747489864881,8.243992467040982,7.227001409317619
Tfrc,-0.11967475261640215,0.11535410642159055,0.0,0.1631353417768427,0.0,1.0,1.0,429.53011653700514,1.0,446.9187617451019,412.14147132890844,472.281392380077,386.7788406939333
Tgfa,-0.08694098445799188,0.15614395094911473,0.0,0.22082089311475736,0.0,1.0,1.0,78.29398475997135,1.0,78.05285768356606,78.53511183637666,81.72044131697955,74.86752820296316
