,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Ctnnbip1,457.40987146802655,-0.138892343004213,0.12008401315251117,-1.1566264264320891,0.24742502064931438,0.9995545441197232
Ctnnd1,2158.726642651975,0.005681029246150915,0.0912385932979801,0.06226563826556372,0.9503512920507221,0.9995545441197232
Ctps,410.37776692498966,0.07228529970378332,0.14026485429138882,0.5153486243504485,0.6063094263853945,0.9995545441197232
Ctr9,441.48860638598785,0.053050699926225235,0.1275080344486422,0.4160577029959084,0.6773677796818796,0.9995545441197232
Ctsk,17.667341638221032,-0.5664329186690417,0.49459951811111214,-1.1452354843212607,0.2521116229245701,0.9995545441197232
Ctsl,860.1688342072836,0.031116621192891433,0.11457665841148858,0.2715790600310558,0.7859457021690124,0.9995545441197232
Ctsq,0.3754430175139507,-2.239136284203028,4.038394511990233,-0.5544619966065473,0.5792627073045762,0.9995545441197232
Ctss,1782.3605325005713,0.1258808465676353,0.14429536912851118,0.8723831355635836,0.38299939757073764,0.9995545441197232
Cttn,566.2179449013476,0.017951220686810168,0.13374026966751404,0.13422449895934807,0.893225053833177,0.9995545441197232
Cttnbp2,1302.7580784040358,-0.068530936083772,0.10272082317301706,-0.6671571933213817,0.5046717308207693,0.9995545441197232
Cubn,8.39273022707823,0.9255793464787168,0.6752865799843257,1.3706467356425187,0.17048510646489357,0.9995545441197232
Cul1,1542.7687159174466,0.007510527272524217,0.09524747268038122,0.07885277226963328,0.9371497284822529,0.9995545441197232
Cul3,2872.1046564751628,-0.0008974603027666339,0.10292929699435943,-0.008719191998521229,0.9930431794697281,0.9995545441197232
Cul4a,753.1969211724963,-0.14872393562534666,0.10848354907761033,-1.3709353804321789,0.17039510090737464,0.9995545441197232
Cux1,816.6817544587275,-0.023709777535250488,0.11609063812676207,-0.20423505217846444,0.8381698209168451,0.9995545441197232
Cux2,262.1748139461659,0.08026444669562587,0.18567053937812233,0.43229500471351284,0.6655270172794747,0.9995545441197232
Cwc27,225.4648250626989,-0.029285936203635714,0.16240524575037438,-0.1803262946853932,0.8568964138515964,0.9995545441197232
Cx3cl1,383.0499047643248,0.09515605875188492,0.14411290074704902,0.6602882757797338,0.5090688524163929,0.9995545441197232
Cx3cr1,260.7141601227987,0.17357893233411034,0.18813784885025298,0.9226156958575055,0.35620751314524324,0.9995545441197232
Cxadr,80.06713914518552,0.044608018369548426,0.23703239127592057,0.18819376596349607,0.8507247592194352,0.9995545441197232
Cxcl1,1.2019142124911248,0.2288332291079438,1.797682402935458,0.12729346893215351,0.8987081292952099,0.9995545441197232
Cxcl10,63.64538094531439,1.6686675101339274,0.9082368271193603,1.8372603491827264,0.06617147036915484,0.9995545441197232
Cxcl12,284.1736683689956,0.3078818297093222,0.16619430438747268,1.8525414023305697,0.06394811803449833,0.9995545441197232
Cxcl13,1.7181443571574782,-0.9589549176824345,1.4753018925724504,-0.6500058886322762,0.5156884178880861,0.9995545441197232
Cxcl14,4879.877189325771,-0.07907663084943206,0.09179067391212584,-0.8614887273312174,0.3889689270827832,0.9995545441197232
Cxcl16,33.91198839315092,0.771869011580243,0.3854207938436457,2.0026657199335447,0.04521318060913713,0.9995545441197232
Cxcl2,0.1870388275202205,0.6251663949739725,4.421828840890808,0.14138186200079791,0.8875682823623244,0.9995545441197232
Cxcl3,0.4798499211629815,-1.3425532501607649,2.846072710618484,-0.4717213461032809,0.6371256986758016,0.9995545441197232
Cxcl5,150.0352246637081,0.8833532354503352,0.3164439470469784,2.791499864964062,0.005246437952792392,0.6053673974165222
Cxcl9,0.8770321158263021,0.12591321076686796,2.097429613599986,0.06003215075749459,0.9521300282566009,0.9995545441197232
Cxcr1,2.5700603988300643,1.2215226828372094,1.3028158929611897,0.9376019201460554,0.3484490242442383,0.9995545441197232
Cxcr2,0.8094501044310921,-1.0212268160169538,2.1348304901787434,-0.4783643575989255,0.6323908973496399,0.9995545441197232
Cxcr3,0.8502584158368088,0.2931298914327999,2.0741656923250558,0.14132424064164958,0.88761380053393,0.9995545441197232
Cxcr4,132.9974733155815,-0.051396046411007236,0.1885680354789744,-0.27255969592332085,0.7851916971926516,0.9995545441197232
Cxcr5,0.6899932883060816,-0.5868780074265139,2.4678780763736072,-0.23780672677675166,0.8120310011111262,0.9995545441197232
Cxcr6,3.459285647123266,0.13270096862860203,1.3287366288457447,0.09987003123702365,0.9204475089792937,0.9995545441197232
Cxxc1,268.12436192388316,0.04023577295864441,0.14975604628277034,0.2686754488875258,0.7881794462532903,0.9995545441197232
Cxxc5,987.4543966982814,-0.09200280146870057,0.11261862835014111,-0.8169412362460663,0.4139620108251799,0.9995545441197232
Cyb561,196.63864891772832,-0.04876199893209253,0.1707322479111997,-0.28560508942314367,0.7751806049680794,0.9995545441197232
Cyb5a,1162.871499964465,0.0798256990125294,0.10220060560197064,0.7810687475122964,0.4347620618873552,0.9995545441197232
Cyb5r3,477.69638077818587,0.2240423026191736,0.1341426809078336,1.6701791040922165,0.09488393299179787,0.9995545441197232
Cybb,6.709498935972893,1.2936954852226152,0.8272906602502913,1.5637738311118081,0.11787069192620515,0.9995545441197232
Cybc1,295.09976034426893,0.041034991219391706,0.1674570043092003,0.2450479237262767,0.8064193245312605,0.9995545441197232
Cyct,2.2998235689616093,-0.3017427825790396,1.2959918086095357,-0.2328276927172697,0.8158952081069659,0.9995545441197232
Cyfip1,3693.646404014669,-0.023240819984716356,0.09123672991127148,-0.25473096205133894,0.7989309006446751,0.9995545441197232
Cyfip2,7195.822634221276,0.022065768561782103,0.15541351513992988,0.14198101459782772,0.8870950019094715,0.9995545441197232
Cygb,123.49910024003566,0.08677911731825043,0.20320136740753375,0.4270597113857466,0.6693358366894582,0.9995545441197232
Cyld,1649.5942965513202,-0.04431369426810513,0.1098755671068833,-0.40330799134805134,0.6867216635956792,0.9995545441197232
Cyp11a1,7.153889331648993,0.3158771893488293,0.7084887431260876,0.4458464476867681,0.6557081678093114,0.9995545441197232
Cyp11b2,0.5750748476779085,-1.2663146041072926,2.712818221124794,-0.46678933156909086,0.6406506093761348,0.9995545441197232
Cyp17a1,0.8161260695208264,0.36388476124789004,2.095603697710554,0.1736419732630907,0.8621468431797482,0.9995545441197232
Cyp19a1,1.205949617857658,1.0236233295455923,1.7785854836220885,0.5755266412390727,0.5649351782412328,0.9995545441197232
Cyp1a1,1.4123157144912053,0.531394631062276,1.6235218282333574,0.3273098161177885,0.7434335687921847,0.9995545441197232
Cyp1a2,0.490619592999104,-1.3716676650045567,2.8304526578316196,-0.4846107074814589,0.627952516879651,0.9995545441197232
Cyp1b1,35.88942983165023,-0.1202809580542579,0.35951482459281753,-0.33456466834291676,0.7379535009393472,0.9995545441197232
